CATEGORIA;CCAA;PROVINCIA;VALORACION_POR_CATEGORIA;TOTAL_OPINIONES_CATEGORIA;VALORACION_GENERAL
Activo Naturaleza;Andalucía;Cádiz;4,39;22794;4,27
Activo Urbano;Andalucía;Cádiz;4,55;7615;4,27
Comida y Bebida;Andalucía;Cádiz;4,53;60;4,27
Compras;Andalucía;Cádiz;4,17;1816;4,27
Museos;Andalucía;Cádiz;4,39;8074;4,27
Otros;Andalucía;Cádiz;4,12;409;4,27
Paisaje Naturaleza;Andalucía;Cádiz;4,14;8839;4,27
Paisaje Urbano;Andalucía;Cádiz;4,17;21067;4,27
Servicios;Andalucía;Cádiz;4,78;49;4,27
Vida Nocturna;Andalucía;Cádiz;4,05;3295;4,27
